
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-22 07,33
108,서울,2018-01-22 08,28
108,서울,2018-01-22 09,35
108,서울,2018-01-22 10,41
108,서울,2018-01-22 11,49
108,서울,2018-01-22 12,61
108,서울,2018-01-22 13,78
108,서울,2018-01-22 14,68
108,서울,2018-01-22 15,36
108,서울,2018-01-22 16,36
108,서울,2018-01-22 17,22
108,서울,2018-01-22 18,12
108,서울,2018-01-22 19,18
108,서울,2018-01-22 20,3
108,서울,2018-01-22 21,6
108,서울,2018-01-22 22,27
108,서울,2018-01-22 23,47
108,서울,2018-01-23 00,34
108,서울,2018-01-23 01,20
108,서울,2018-01-23 02,22
108,서울,2018-01-23 03,16
108,서울,2018-01-23 04,11
108,서울,2018-01-23 05,
108,서울,2018-01-23 06,4
108,서울,2018-01-23 07,10
108,서울,2018-01-23 08,11
108,서울,2018-01-23 09,
108,서울,2018-01-23 10,11
108,서울,2018-01-23 11,27
108,서울,2018-01-23 12,34
108,서울,2018-01-23 13,23
108,서울,2018-01-23 14,16
108,서울,2018-01-23 15,21
108,서울,2018-01-23 16,23
108,서울,2018-01-23 17,25
108,서울,2018-01-23 18,23
108,서울,2018-01-23 19,23
108,서울,2018-01-23 20,23
108,서울,2018-01-23 21,19
108,서울,2018-01-23 22,21
108,서울,2018-01-23 23,18
108,서울,2018-01-24 00,21
108,서울,2018-01-24 01,17
108,서울,2018-01-24 02,20
108,서울,2018-01-24 03,32
108,서울,2018-01-24 04,37
108,서울,2018-01-24 05,32
108,서울,2018-01-24 06,32
108,서울,2018-01-24 07,31
108,서울,2018-01-24 08,29
108,서울,2018-01-24 09,34
108,서울,2018-01-24 10,35
108,서울,2018-01-24 11,38
108,서울,2018-01-24 12,45
108,서울,2018-01-24 13,40
108,서울,2018-01-24 14,32
108,서울,2018-01-24 15,31
108,서울,2018-01-24 16,32
108,서울,2018-01-24 17,39
108,서울,2018-01-24 18,20
108,서울,2018-01-24 19,9
108,서울,2018-01-24 20,12
108,서울,2018-01-24 21,19
108,서울,2018-01-24 22,20
